trial,lookback,epoch,train_loss_regularized,recursive_200_mae_real,recursive_200_mse_real,recursive_200_rmse_real,recursive_200_r2_real,best_recursive_200_mae_real_so_far,learning_rate,epochs_without_improvement
7,115,1,1.0248720606748205,38.44769814909822,2249.5281523657522,47.429190930963095,-0.13302290675479322,38.44769814909822,0.00038558855505999257,0
7,115,2,0.828583452475332,60.76452648264032,5211.015763757737,72.1873656795823,-1.6246394034182652,38.44769814909822,0.00038558855505999257,1
7,115,3,0.5857506413094319,54.14098847101936,4384.541173916872,66.2158679918709,-1.2083678216842575,38.44769814909822,0.00038558855505999257,2
7,115,4,0.4690264016824917,40.41051825385067,3567.280356597455,59.7267139276677,-0.7967369532987127,38.44769814909822,0.00038558855505999257,3
7,115,5,0.3550361967869919,45.461340323985866,4057.9278621622843,63.70186702257858,-1.0438620503384697,38.44769814909822,0.00038558855505999257,4
7,115,6,0.30646915729463536,54.42158171560553,5799.979006226689,76.15759322764008,-1.9212833215004257,38.44769814909822,0.00038558855505999257,5
7,115,7,0.27288643095615134,31.913822730274013,2860.6495470626023,53.48504040442152,-0.44082725153317703,31.913822730274013,0.00038558855505999257,0
7,115,8,0.26771859064371917,59.2859552135245,6780.611210710735,82.34446678867218,-2.415199678854474,31.913822730274013,0.00038558855505999257,1
7,115,9,0.2079118560700521,35.97271172812237,2822.4893182827923,53.12710530682801,-0.4216070371566385,31.913822730274013,0.00038558855505999257,2
7,115,10,0.19296041898918848,38.853707749623965,3739.9276868524857,61.15494817962391,-0.8836944691507769,31.913822730274013,0.00038558855505999257,3
7,115,11,0.19353544927426497,37.11177768240834,2363.062260992685,48.61133881094703,-0.19020678579939143,31.913822730274013,0.00038558855505999257,4
7,115,12,0.18976673183649995,37.49120252180418,2544.0845835952055,50.438919334133296,-0.28138254544788177,31.913822730274013,0.00038558855505999257,5
7,115,13,0.16381437360805318,36.24711484694675,2312.200813730564,48.085349262853065,-0.16458933141986787,31.913822730274013,0.00038558855505999257,6
7,115,14,0.18848193222588866,37.077554952916906,2074.6919746193303,45.54878675244084,-0.04496293110709115,31.913822730274013,0.00038558855505999257,7
7,115,15,0.15377640460964537,38.11380770781532,2666.4225481452754,51.637414227914974,-0.34300067458985817,31.913822730274013,0.00038558855505999257,8
7,115,16,0.1441445332591551,36.12712682974315,2125.105534676727,46.098866956539474,-0.0703547975285086,31.913822730274013,0.00019279427752999628,9
7,115,17,0.13773550110576796,37.7534640119788,2395.6407957088963,48.94528369218935,-0.20661566072863158,31.913822730274013,0.00019279427752999628,10
7,115,18,0.13190500016195061,38.26859818489633,2692.709866012764,51.891327464353466,-0.3562408437647522,31.913822730274013,0.00019279427752999628,11
7,115,19,0.12784578700135224,41.61652477954014,3107.4089556186937,55.74413830725786,-0.5651128987509222,31.913822730274013,0.00019279427752999628,12
7,115,20,0.1233592699914083,36.57189499147029,2123.567521318513,46.08218225429991,-0.06958014424669967,31.913822730274013,0.00019279427752999628,13
7,115,21,0.12222017105260904,25.255158431895843,2663.3261838506046,51.607423728089785,-0.341441124570522,25.255158431895843,0.00019279427752999628,0
7,115,22,0.11558707091059998,26.395782460478408,2550.1211210869615,50.49872395503635,-0.28442297650381243,25.255158431895843,0.00019279427752999628,1
7,115,23,0.11607635680341373,43.542063910953544,4475.726574318354,66.90087125231146,-1.2542952964339436,25.255158431895843,0.00019279427752999628,2
7,115,24,0.12278279686061135,29.47701562982096,2804.9196518228914,52.96149216008638,-0.412757699333427,25.255158431895843,0.00019279427752999628,3
7,115,25,0.126633700793677,38.63379659827421,2613.2124348592424,51.119589541185114,-0.3162002643968629,25.255158431895843,0.00019279427752999628,4
7,115,26,0.12248529526439027,37.94460227987574,3893.6139757865258,62.39882992321672,-0.9611018515092846,25.255158431895843,0.00019279427752999628,5
7,115,27,0.11321258229495836,33.72168162832732,3542.7947984202738,59.521381019094925,-0.7844042788797472,25.255158431895843,0.00019279427752999628,6
