number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_grad_clip,params_l1_lambda,params_l2_lambda,params_learning_rate,params_lookback,params_patience,user_attrs_best_epoch,user_attrs_best_model_path,user_attrs_dropout,user_attrs_history_file,user_attrs_input_channels,user_attrs_lookback,user_attrs_n_train_windows,user_attrs_params_file,user_attrs_recursive_200_mae_real,user_attrs_recursive_200_mse_real,user_attrs_recursive_200_r2_real,user_attrs_recursive_200_rmse_real,state
13,3.1245599154673824,2026-05-08 14:12:03.615562,2026-05-08 14:17:37.378104,0 days 00:05:33.762542,32,0.15000000000000002,200,0.25,1.0500220995067054e-06,1.9379706152871083e-05,0.0006142898968222567,145,40,98.0,optuna_trial_histories_recursive_200/trial_13_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_13_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_13_params.json,3.1245599154673824,29.160412555116146,0.9853127353126832,5.4000381994126805,COMPLETE
14,7.579318428145714,2026-05-08 14:17:37.384668,2026-05-08 14:21:27.103619,0 days 00:03:49.718951,32,0.1,240,0.3,2.051015232944846e-06,2.0809515040526534e-05,0.0006390551082269714,125,35,63.0,optuna_trial_histories_recursive_200/trial_14_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_14_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_14_params.json,7.579318428145714,135.58339184903573,0.9317105284595293,11.644028162497536,COMPLETE
15,4.098444141981184,2026-05-08 14:21:27.105654,2026-05-08 14:25:36.764675,0 days 00:04:09.659021,32,0.2,240,0.2,8.133851867508947e-07,1.8173189885609437e-05,0.0008028996841482917,150,45,63.0,optuna_trial_histories_recursive_200/trial_15_best_model.pt,0.2,optuna_trial_histories_recursive_200/trial_15_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_15_params.json,4.098444141981184,40.23702681439784,0.9797337619302632,6.343266257567771,COMPLETE
16,3.958944540338618,2026-05-08 14:25:36.766689,2026-05-08 14:29:17.314347,0 days 00:03:40.547658,32,0.15000000000000002,200,0.25,1.2881694453668286e-06,2.0617023670190502e-05,0.0005597644987612916,145,40,57.0,optuna_trial_histories_recursive_200/trial_16_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_16_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_16_params.json,3.958944540338618,26.70921351472906,0.9865473340701395,5.168095733897454,COMPLETE
17,8.186019170700176,2026-05-08 14:29:17.316254,2026-05-08 14:32:30.496738,0 days 00:03:13.180484,32,0.1,170,0.25,1.9125127668394556e-06,2.5608088695030632e-05,0.000686880214036513,125,40,49.0,optuna_trial_histories_recursive_200/trial_17_best_model.pt,0.1,optuna_trial_histories_recursive_200/trial_17_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_17_params.json,8.186019170700176,262.4536633719293,0.8678096060947814,16.200421703521464,COMPLETE
18,6.47843381390576,2026-05-08 14:32:30.499487,2026-05-08 14:35:39.220532,0 days 00:03:08.721045,32,0.2,230,0.2,2.203798143412073e-06,1.998029614401967e-05,0.0005463957295916603,145,45,38.0,optuna_trial_histories_recursive_200/trial_18_best_model.pt,0.2,optuna_trial_histories_recursive_200/trial_18_history.csv,1,145,655,optuna_trial_histories_recursive_200/trial_18_params.json,6.47843381390576,83.15774227414775,0.9581158267472522,9.119086701756254,COMPLETE
19,2.7757108139126956,2026-05-08 14:35:39.222505,2026-05-08 14:39:56.395445,0 days 00:04:17.172940,32,0.30000000000000004,220,0.3,1.121824978581888e-06,1.8354811211072736e-05,0.000718218007695682,125,35,84.0,optuna_trial_histories_recursive_200/trial_19_best_model.pt,0.30000000000000004,optuna_trial_histories_recursive_200/trial_19_history.csv,1,125,675,optuna_trial_histories_recursive_200/trial_19_params.json,2.7757108139126956,20.58972318176464,0.9896295460965244,4.5375900191362195,COMPLETE
20,1.8365524485537443,2026-05-08 14:39:56.396388,2026-05-08 14:45:55.283616,0 days 00:05:58.887228,32,0.15000000000000002,240,0.2,8.84749331910542e-07,2.2657277661891092e-05,0.0007605464922563926,150,45,112.0,optuna_trial_histories_recursive_200/trial_20_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_20_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_20_params.json,1.8365524485537443,7.125536017283852,0.9964110715742773,2.6693699663560784,COMPLETE
21,2.568104841175797,2026-05-08 14:45:55.284614,2026-05-08 14:49:48.826490,0 days 00:03:53.541876,32,0.15000000000000002,240,0.2,7.952474742472177e-07,2.384364826589269e-05,0.0007606462358046058,150,45,57.0,optuna_trial_histories_recursive_200/trial_21_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_21_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_21_params.json,2.568104841175797,12.380127949024235,0.9937644841030115,3.5185405993144707,COMPLETE
22,2.3487016925394397,2026-05-08 14:49:48.827433,2026-05-08 14:55:06.663626,0 days 00:05:17.836193,32,0.15000000000000002,240,0.2,8.048604097192167e-07,2.3467487695987325e-05,0.0006872471414005979,150,45,94.0,optuna_trial_histories_recursive_200/trial_22_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_22_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_22_params.json,2.3487016925394397,11.45754517541831,0.9942291626244933,3.3848995812901617,COMPLETE
23,2.728247245814678,2026-05-08 14:55:06.664556,2026-05-08 15:03:32.583486,0 days 00:08:25.918930,32,0.2,240,0.2,9.456326696679637e-07,2.2981840455124355e-05,0.0006728670882065386,150,45,176.0,optuna_trial_histories_recursive_200/trial_23_best_model.pt,0.2,optuna_trial_histories_recursive_200/trial_23_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_23_params.json,2.728247245814678,17.285737474623453,0.991293669075312,4.157611991831784,COMPLETE
24,3.006002229734165,2026-05-08 15:03:32.585774,2026-05-08 15:08:52.991270,0 days 00:05:20.405496,32,0.15000000000000002,240,0.2,7.106531478782634e-07,2.3334510690021227e-05,0.0005714166001408886,150,45,95.0,optuna_trial_histories_recursive_200/trial_24_best_model.pt,0.15000000000000002,optuna_trial_histories_recursive_200/trial_24_history.csv,1,150,650,optuna_trial_histories_recursive_200/trial_24_params.json,3.006002229734165,19.713964076606246,0.9900706408771788,4.440040999428524,COMPLETE
