epoch,train_loss_regularized,xtest_recursive_200_mae_real,xtest_recursive_200_mse_real,xtest_recursive_200_rmse_real,xtest_recursive_200_r2_real,best_xtest_recursive_200_mae_real_so_far,learning_rate,epochs_without_improvement
1,0.8224417858464377,35.32001094568543,2295.206946756132,47.90831813741881,-0.3759083810105086,35.32001094568543,0.0006807314093247821,0
2,0.41771870950290135,35.79985935204197,2170.855880451407,46.59244445670786,-0.30136361085020646,35.32001094568543,0.0006807314093247821,1
3,0.2683535806196077,44.341474262675604,3395.446079481632,58.270456317774205,-1.0354690563440672,35.32001094568543,0.0006807314093247821,2
4,0.24733201238087246,53.65572589036139,4599.385645689997,67.81877059995999,-1.7571950609282854,35.32001094568543,0.0006807314093247821,3
5,0.1965462179865156,49.86924812698038,4160.512768428793,64.50203693240077,-1.4941038085794194,35.32001094568543,0.0006807314093247821,4
6,0.17891011932918002,70.69698282421251,8585.505064428551,92.65800054193136,-4.146755237060783,35.32001094568543,0.0006807314093247821,5
7,0.1966403442280633,41.24409223985887,3140.2672070221847,56.038087110662374,-0.8824969028874969,35.32001094568543,0.0006807314093247821,6
8,0.1575848798581532,41.66099982390504,3093.638637657215,55.62048757119282,-0.8545444607452031,35.32001094568543,0.0006807314093247821,7
9,0.12857639016423908,43.97811287100089,3072.6727269819703,55.431694245999466,-0.8419760201283963,35.32001094568543,0.0006807314093247821,8
10,0.12469337895938329,38.20471040955557,3005.6499879860658,54.8238085870187,-0.8017978791406837,35.32001094568543,0.00034036570466239107,9
11,0.10088105893135071,49.6416056661397,4356.163638309379,66.00123967251963,-1.611390692884627,35.32001094568543,0.00034036570466239107,10
12,0.09675875416823795,50.37934643906539,4539.4699219698905,67.37558847216023,-1.7212773644707537,35.32001094568543,0.00034036570466239107,11
13,0.09655726868765695,41.53067729056885,3254.185288350167,57.04546685189076,-0.9507874084862766,35.32001094568543,0.00034036570466239107,12
14,0.09704177050931113,32.531084826424475,2158.8318587014496,46.4632312554933,-0.2941555670079725,32.531084826424475,0.00034036570466239107,0
15,0.09400550390992846,58.70153554124307,5991.378396625613,77.40399470715715,-2.5916533632722465,32.531084826424475,0.00034036570466239107,1
16,0.10096322463239943,45.68997346189804,3638.179007628414,60.317319300748224,-1.180980235916087,32.531084826424475,0.00034036570466239107,2
17,0.09971444710663387,31.17284601447131,2201.656226064638,46.92180970577156,-0.3198275030613902,31.17284601447131,0.00034036570466239107,0
18,0.0965166335105896,34.760334825945534,2346.7263514733263,48.44302170048155,-0.40679273365472013,31.17284601447131,0.00034036570466239107,1
19,0.08983063437257494,46.85036076534239,3748.534316586778,61.225275145047554,-1.2471349653183377,31.17284601447131,0.00034036570466239107,2
20,0.0903236527613231,47.826282303182,4188.195908840875,64.71627236515461,-1.510699028875135,31.17284601447131,0.00034036570466239107,3
21,0.08468091234139034,24.837011153338473,1977.684399327789,44.47116368308557,-0.1855630464497542,24.837011153338473,0.00034036570466239107,0
