epoch,train_loss_regularized,xtest_recursive_200_mae_real,xtest_recursive_200_mse_real,xtest_recursive_200_rmse_real,xtest_recursive_200_r2_real,best_xtest_recursive_200_mae_real_so_far,learning_rate,epochs_without_improvement
22,0.08706655000788825,51.962185476097545,4731.527272116777,68.78609795675851,-1.836410040448075,24.837011153338473,0.00034036570466239107,1
23,0.08768083861044475,47.52354699184812,4041.8913709536946,63.575870980692784,-1.422993804671564,24.837011153338473,0.00034036570466239107,2
24,0.08531536752837045,54.80215273050531,5606.9458699896095,74.8795423997076,-2.3611974838670835,24.837011153338473,0.00034036570466239107,3
25,0.08120974643741335,28.71222092788847,1869.5716479853481,43.238543546069494,-0.12075266371873039,24.837011153338473,0.00034036570466239107,4
26,0.08203476207596914,35.34937821261583,2322.272995989824,48.189967794031816,-0.3921336734766685,24.837011153338473,0.00034036570466239107,5
27,0.07933244867835726,33.46823970848499,2633.090079962968,51.31364418907478,-0.5784592818948164,24.837011153338473,0.00034036570466239107,6
28,0.08434599053859711,52.05018025194731,4989.529152329696,70.63659924097207,-1.9910745031899366,24.837011153338473,0.00034036570466239107,7
29,0.07625325116940906,22.43059966045922,1392.3817276381787,37.3146315490074,0.16530851767815935,22.43059966045922,0.00034036570466239107,0
30,0.07563279267719814,43.674071338368414,3427.5987259830044,58.54569775810179,-1.0547436127649732,22.43059966045922,0.00034036570466239107,1
31,0.0795513414144516,48.46477488045924,4046.8572247532143,63.614913540405084,-1.4259706865040664,22.43059966045922,0.00034036570466239107,2
32,0.07658028571094785,42.1869227407542,3300.4289782876835,57.449360120785364,-0.9785091268454014,22.43059966045922,0.00034036570466239107,3
33,0.0779986851130213,46.17487349596345,3654.1318636087894,60.44941574249324,-1.1905434991658232,22.43059966045922,0.00034036570466239107,4
34,0.08250803775446755,24.379887364144864,2053.831305884582,45.3192156362462,-0.23121085483914205,22.43059966045922,0.00034036570466239107,5
35,0.07595561294896262,45.63339181415981,4123.6107529303645,64.21534670879201,-1.4719821465339873,22.43059966045922,0.00034036570466239107,6
36,0.0734373756136213,45.164649903625666,3942.1408381912806,62.78647018419877,-1.3631963235633595,22.43059966045922,0.00034036570466239107,7
37,0.07747146197727749,32.32883740644689,2076.3897063341133,45.567419351265805,-0.24473394576763896,22.43059966045922,0.00034036570466239107,8
38,0.0797838180746351,54.146711606322235,5157.684412385473,71.8170203530157,-2.0918785862155387,22.43059966045922,0.00017018285233119554,9
39,0.06884412453004292,47.29497882594757,3930.9406538508697,62.697214083648646,-1.356482145774462,22.43059966045922,0.00017018285233119554,10
40,0.07421727910212109,38.59503234830979,2917.9879747683694,54.018404037590464,-0.7492471063866408,22.43059966045922,0.00017018285233119554,11
41,0.06738239659581866,48.40611482742693,4499.208949705728,67.07614292507976,-1.6971421076285833,22.43059966045922,0.00017018285233119554,12
42,0.07145174891182354,40.089023118501075,2835.333517619072,53.24784988728721,-0.6996982147364468,22.43059966045922,0.00017018285233119554,13
43,0.07063410595910889,53.94987232457165,5353.926844498766,73.17053262412927,-2.2095200945057516,22.43059966045922,0.00017018285233119554,14
44,0.06872123742103577,18.25461856468364,966.4645972050076,31.088013722414104,0.4206331846791833,18.25461856468364,0.00017018285233119554,0
45,0.06804983862808772,27.761866930648146,1585.7341421948079,39.82127750581098,0.0493994890595949,18.25461856468364,0.00017018285233119554,1
46,0.0658604211807251,21.35064093745104,777.9920667952415,27.892509152015016,0.5336168677181177,18.25461856468364,0.00017018285233119554,2
47,0.06717363813945225,41.35834402190016,3441.3324037849075,58.662870742786765,-1.0629765446217032,18.25461856468364,0.00017018285233119554,3
48,0.06572517555526325,47.9602594354574,4159.6757887970025,64.49554859675978,-1.4936020641542633,18.25461856468364,0.00017018285233119554,4
49,0.06531800171307155,48.44569585593145,4133.2132804072635,64.29007139836807,-1.477738576494703,18.25461856468364,0.00017018285233119554,5
50,0.0630290832391807,35.84945008758001,2690.9156125769746,51.874036015881536,-0.6131239708774183,18.25461856468364,0.00017018285233119554,6
51,0.06661028513738088,48.8453370198955,4099.182442877662,64.02485800747755,-1.4573381003476773,18.25461856468364,0.00017018285233119554,7
52,0.06260083499125071,46.165046219593016,3743.5369523994805,61.184450250038864,-1.2441391939444393,18.25461856468364,0.00017018285233119554,8
53,0.06300543774877276,32.79059700557781,1979.1590655704917,44.48774062110248,-0.1864470650544363,18.25461856468364,8.509142616559777e-05,9
54,0.0632238648533821,49.59138329745783,4216.167003681606,64.93201832441069,-1.5274668692965814,18.25461856468364,8.509142616559777e-05,10
55,0.06169576806681497,25.35358620921957,1221.839849047899,34.954825833465385,0.26754330761606837,18.25461856468364,8.509142616559777e-05,11
56,0.061540974029472895,47.24945360385153,4175.569551915131,64.61864709133991,-1.503129902988551,18.25461856468364,8.509142616559777e-05,12
57,0.06034500482252666,23.172816118408253,962.420622328722,31.02290480159332,0.4230574274834068,18.25461856468364,8.509142616559777e-05,13
58,0.06038943885053907,24.08806077447943,1279.264026617774,35.76680062037663,0.23311921905939426,18.25461856468364,8.509142616559777e-05,14
59,0.06048607055204255,32.238640054566304,1975.4493661527779,44.446027563245494,-0.18422321045732626,18.25461856468364,8.509142616559777e-05,15
60,0.061868229917117525,46.632422131872,4034.3934199167556,63.51687507990893,-1.4184990057660833,18.25461856468364,8.509142616559777e-05,16
61,0.0602183463871479,19.040413459155964,732.0683212784592,27.056761101034603,0.5611467889015813,18.25461856468364,8.509142616559777e-05,17
62,0.059130895733833316,45.15605874643372,3842.172607515514,61.98526121196485,-1.303268339023239,18.25461856468364,4.2545713082798884e-05,18
63,0.05806471827200481,26.410297553888995,1428.0153204289302,37.78908996560952,0.14394723736502513,18.25461856468364,4.2545713082798884e-05,19
64,0.06026054699506078,21.438550195394924,1306.6112901236743,36.14707858352697,0.2167253469910605,18.25461856468364,4.2545713082798884e-05,20
65,0.05985786948459489,27.227423965783963,1497.4800655132813,38.697287573075215,0.10230518627181184,18.25461856468364,4.2545713082798884e-05,21
66,0.05882529159103121,40.32748530020254,3182.436328532895,56.41308650067726,-0.9077760385177016,18.25461856468364,4.2545713082798884e-05,22
67,0.05783410661561148,32.07230252278231,2120.45475136067,46.04839575230249,-0.271149631223512,18.25461856468364,4.2545713082798884e-05,23
68,0.05760348541396005,21.981280997398915,1312.8573397487503,36.23337328691258,0.21298102579183442,18.25461856468364,4.2545713082798884e-05,24
69,0.061584678428513666,22.324593917344995,916.1532958697545,30.268024313948118,0.4507933152349728,18.25461856468364,4.2545713082798884e-05,25
70,0.05830565318465233,20.576102058486256,820.9502149967005,28.65222879632055,0.5078647340263756,18.25461856468364,4.2545713082798884e-05,26
71,0.0585866177890982,25.173521805488953,1276.6954783470337,35.73087570081419,0.2346589874439995,18.25461856468364,2.1272856541399442e-05,27
72,0.05828465583494731,37.48320787845817,2847.688396442074,53.363736717382096,-0.7071045975652208,18.25461856468364,2.1272856541399442e-05,28
73,0.061345926642417906,38.65952072612329,2983.4153237401497,54.62064924312187,-0.7884688584490427,18.25461856468364,2.1272856541399442e-05,29
74,0.05829024355752128,39.291071994274965,3043.8385835258437,55.17099404148745,-0.8246908077005517,18.25461856468364,2.1272856541399442e-05,30
75,0.059129463519368854,50.15000895703228,4504.554633042474,67.1159789695604,-1.7003466859850809,18.25461856468364,2.1272856541399442e-05,31
76,0.05759089319195066,34.374890884003186,2548.2988598991865,50.48067808477999,-0.5276294643540722,18.25461856468364,2.1272856541399442e-05,32
77,0.05759518327883312,40.47815403783862,3054.8518074655003,55.27071383169843,-0.8312929082832183,18.25461856468364,2.1272856541399442e-05,33
78,0.057430243577275955,25.253212970064183,1333.7388924747606,36.520390092039825,0.20046315525957736,18.25461856468364,2.1272856541399442e-05,34
79,0.05716169729828834,21.623157564175184,822.2913146815008,28.675622306787012,0.5070607846053026,18.25461856468364,2.1272856541399442e-05,35
80,0.057008116330419266,39.36157027218161,3118.9382383414563,55.84745507488641,-0.869710819781744,18.25461856468364,1.0636428270699721e-05,36
81,0.05757576227613858,37.915951637050966,2958.7459730314235,54.3943560769996,-0.7736803155500263,18.25461856468364,1.0636428270699721e-05,37
82,0.05651672152110509,19.007748093377607,685.6964736224535,26.18580672086414,0.5889453340057671,18.25461856468364,1.0636428270699721e-05,38
83,0.05834543981722423,37.494433997658454,2718.397031583327,52.13824921862382,-0.6295982651829242,18.25461856468364,1.0636428270699721e-05,39
84,0.05653138708216803,24.65520632054841,1256.8534424325198,35.452128884349385,0.24655369852862563,18.25461856468364,1.0636428270699721e-05,40
