trial,lookback,epoch,train_loss_regularized,recursive_200_mae_real,recursive_200_mse_real,recursive_200_rmse_real,recursive_200_r2_real,best_recursive_200_mae_real_so_far,learning_rate,epochs_without_improvement
11,150,1,1.0865538333012508,38.17882411815387,2092.095552696,45.739431049106855,-0.05372861496822656,38.17882411815387,0.0004828828030938724,0
11,150,2,0.805134355196586,52.02590047164917,3871.497684245943,62.22136035354694,-0.949962508842426,38.17882411815387,0.0004828828030938724,1
11,150,3,0.4919973587989807,41.24063060184083,2948.802212172516,54.302874805782764,-0.485227224370137,38.17882411815387,0.0004828828030938724,2
11,150,4,0.4420441101147578,48.28304222535682,4861.717873804886,69.72602006284947,-1.448708059691144,38.17882411815387,0.0004828828030938724,3
11,150,5,0.35847526935430674,52.69995229153981,4983.628817262027,70.59482146207345,-1.510111110537947,38.17882411815387,0.0004828828030938724,4
11,150,6,0.3508136055102715,43.736723881907444,3966.5708898068237,62.9807183970366,-0.9978481597091642,38.17882411815387,0.0004828828030938724,5
11,150,7,0.3454739971802785,54.64845197130041,5583.0784605463605,74.72000040515498,-1.8120367283937888,38.17882411815387,0.0004828828030938724,6
11,150,8,0.27659022386257465,38.39557095052825,2046.931534933285,45.24302747311772,-0.030980792660503687,38.17882411815387,0.0004828828030938724,7
11,150,9,0.2564134993002965,41.84592451641291,3397.4605692916643,58.28773944228464,-0.7112035898529887,38.17882411815387,0.0004828828030938724,8
11,150,10,0.2538018847428835,52.71421649205213,6479.358430093421,80.4944621082309,-2.2634672807495506,38.17882411815387,0.0002414414015469362,9
11,150,11,0.23132194784971383,54.99392324639712,5394.680276422936,73.44848723032311,-1.7171459585324027,38.17882411815387,0.0002414414015469362,10
11,150,12,0.2190585708618164,53.36551153812911,4768.304155157932,69.05290837580942,-1.4016582448573809,38.17882411815387,0.0002414414015469362,11
11,150,13,0.21889233781741216,27.026955398589415,1939.094355284165,44.03514908892855,0.023333706410686106,27.026955398589415,0.0002414414015469362,0
11,150,14,0.2061888210590069,35.967505734556205,2876.452695945447,53.63257122258308,-0.44878684504361566,27.026955398589415,0.0002414414015469362,1
11,150,15,0.20192750298059903,48.432076538136855,4841.440827494703,69.58046297269588,-1.4384950921732207,27.026955398589415,0.0002414414015469362,2
11,150,16,0.18833238115677467,35.35945717062565,2113.623114740557,45.97415703132094,-0.06457143144839228,27.026955398589415,0.0002414414015469362,3
11,150,17,0.19452705337451054,54.68197143721665,5813.440169317482,76.24591903385704,-1.928063323838868,27.026955398589415,0.0002414414015469362,4
11,150,18,0.19750167071819305,27.646955085068388,2840.0205722054816,53.2918433928259,-0.4304370276849421,27.026955398589415,0.0002414414015469362,5
11,150,19,0.19843340726999137,42.997619231098305,3652.734483385908,60.43785637649558,-0.8397777496658183,27.026955398589415,0.0002414414015469362,6
11,150,20,0.1915997720681704,36.604161436839796,2110.7080355257117,45.94244263778006,-0.06310318953199245,27.026955398589415,0.0002414414015469362,7
11,150,21,0.18619052566014804,45.660351231955104,4653.4212400562865,68.21598962161501,-1.343795010619552,27.026955398589415,0.0002414414015469362,8
11,150,22,0.18391981271597055,45.655650908453794,4943.750837627576,70.31181150864751,-1.4900257142501006,27.026955398589415,0.0001207207007734681,9
11,150,23,0.18710312724113465,28.793259672124087,2627.0532172860985,51.25478726212897,-0.32317147012307057,27.026955398589415,0.0001207207007734681,10
11,150,24,0.1787026296212123,48.43391259945565,5230.966726848098,72.32542241043669,-1.6346881321569682,27.026955398589415,0.0001207207007734681,11
11,150,25,0.18003895071836618,39.13644801303244,2808.0768505858737,52.99129032761774,-0.41434788993223104,27.026955398589415,0.0001207207007734681,12
11,150,26,0.1803580970947559,34.596896814137295,2618.2652701776556,51.168987386674516,-0.31874523284004574,27.026955398589415,0.0001207207007734681,13
11,150,27,0.1716593583730551,34.98743687604428,2052.391489075514,45.303327571774616,-0.03373081519588306,27.026955398589415,0.0001207207007734681,14
11,150,28,0.16664476802715888,17.055083356182777,1274.1627763972617,35.695416742171,0.3582406999111615,17.055083356182777,0.0001207207007734681,0
11,150,29,0.16957818819926335,52.101746623944756,5816.878119885544,76.26846084644389,-1.9297949210815197,17.055083356182777,0.0001207207007734681,1
11,150,30,0.17175081280561594,37.05601109817031,3518.0882168596636,59.31347415941561,-0.771960281312374,17.055083356182777,0.0001207207007734681,2
11,150,31,0.165316408093159,4.864811435181903,45.6666319169085,6.75770907311853,0.9769990253370324,4.864811435181903,0.0001207207007734681,0
11,150,32,0.1731976300936479,32.53031380116796,2921.126022857078,54.04744233409272,-0.4712875204224023,4.864811435181903,0.0001207207007734681,1
11,150,33,0.1650960010748643,38.742485251097484,3214.874018901129,56.69985907302706,-0.6192399734651468,4.864811435181903,0.0001207207007734681,2
11,150,34,0.16857783629344059,22.031770306868854,1329.2139694285788,36.4583868187908,0.33051299057662165,4.864811435181903,0.0001207207007734681,3
11,150,35,0.1633175827906682,46.92112398634322,4345.685158049475,65.9218109433401,-1.188797159278148,4.864811435181903,0.0001207207007734681,4
11,150,36,0.16378417372703552,37.108605067352144,3361.295745979569,57.97668277833399,-0.6929884040646932,4.864811435181903,0.0001207207007734681,5
11,150,37,0.1602045217844156,58.49698583721261,6405.913417684172,80.03695032723431,-2.226475131369666,4.864811435181903,0.0001207207007734681,6
11,150,38,0.16194876381984125,28.059450245833307,2114.0585860287283,45.97889283169755,-0.06479076586490695,4.864811435181903,0.0001207207007734681,7
11,150,39,0.16591581239150122,50.95792597216594,5176.699763404646,71.94928605208425,-1.607355416806509,4.864811435181903,0.0001207207007734681,8
11,150,40,0.16616711928294256,55.45390728793103,6091.953814408368,78.05096933676332,-2.0683426705987125,4.864811435181903,6.036035038673405e-05,9
11,150,41,0.16105706632137298,36.62559185491604,2425.1045070019895,49.24535010538548,-0.22145568830418183,4.864811435181903,6.036035038673405e-05,10
11,150,42,0.1610030665764442,37.65225985297056,3528.2594851321737,59.39915390922815,-0.7770832578492015,4.864811435181903,6.036035038673405e-05,11
11,150,43,0.15283129792947037,38.9410202380763,3243.5882106832073,56.952508379203174,-0.6337024895282732,4.864811435181903,6.036035038673405e-05,12
